,album,album,album,album,album,album,album,album,album,album,album,album,album,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,set,set,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track
196,0,2008-11-26 01:52:33,2009-01-07 00:00:00,,0,85,<p>Ed originally recorded <em>What I Know </em>on cassette in 1998.&nbsp; He's graciously given a digital transfer for FMA listeners to enjoy!</p>,894,,[],What I Know,10,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,large,256000,0,,2008-11-26 01:47:14,2008-11-26 00:00:00,170,0,Folk,[17],[17],,524,en,Attribution-NonCommercial-ShareAlike 3.0 International,75,,5,,[],Bright Mr Brother
197,0,2008-11-26 01:52:31,2009-01-07 00:00:00,,0,84,"<p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p>
<p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",12333,,[],Blue Piano,15,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,small,256000,0,,2008-11-26 01:47:15,,68,1,Folk,[17],[17],,2286,en,Attribution-NonCommercial-ShareAlike 3.0 International,833,,5,,[],Piano 2
198,0,2008-11-26 01:52:31,2009-01-07 00:00:00,,0,84,"<p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p>
<p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",12333,,[],Blue Piano,15,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,medium,256000,0,,2008-11-26 01:47:18,,269,2,Folk,[17],[17],,1784,en,Attribution-NonCommercial-ShareAlike 3.0 International,451,,6,,[],It Breaks My Heart
199,0,2008-11-26 01:52:33,2009-01-07 00:00:00,,0,85,<p>Ed originally recorded <em>What I Know </em>on cassette in 1998.&nbsp; He's graciously given a digital transfer for FMA listeners to enjoy!</p>,894,,[],What I Know,10,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,large,256000,0,,2008-11-26 01:47:21,2008-11-26 00:00:00,263,0,Folk,[17],[17],,459,en,Attribution-NonCommercial-ShareAlike 3.0 International,38,,6,,[],Rimbaud
200,0,2008-11-26 01:52:31,2009-01-07 00:00:00,,0,84,"<p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p>
<p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",12333,,[],Blue Piano,15,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,small,256000,0,,2008-11-26 01:47:25,,194,1,Folk,[17],[17],,1945,en,Attribution-NonCommercial-ShareAlike 3.0 International,772,,7,,[],Baby Come Home
201,0,2008-11-26 01:52:33,2009-01-07 00:00:00,,0,85,<p>Ed originally recorded <em>What I Know </em>on cassette in 1998.&nbsp; He's graciously given a digital transfer for FMA listeners to enjoy!</p>,894,,[],What I Know,10,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,large,256000,0,,2008-11-26 01:47:27,2008-11-26 00:00:00,210,1,Folk,[17],[17],,870,en,Attribution-NonCommercial-ShareAlike 3.0 International,150,,7,,[],Big City
202,0,2008-11-26 01:52:33,2009-01-07 00:00:00,,0,85,<p>Ed originally recorded <em>What I Know </em>on cassette in 1998.&nbsp; He's graciously given a digital transfer for FMA listeners to enjoy!</p>,894,,[],What I Know,10,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,large,256000,0,,2008-11-26 01:47:30,2008-11-26 00:00:00,258,0,Folk,[17],[17],,682,en,Attribution-NonCommercial-ShareAlike 3.0 International,46,,8,,[],Palomino
203,0,2008-11-26 01:52:31,2009-01-07 00:00:00,,0,84,"<p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p>
<p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",12333,,[],Blue Piano,15,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,small,256000,0,,2008-11-26 01:47:34,,195,2,Folk,[17],[17],,1737,en,Attribution-NonCommercial-ShareAlike 3.0 International,603,,8,,[],Song For R
204,0,2008-11-26 01:52:31,2009-01-07 00:00:00,,0,84,"<p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p>
<p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",12333,,[],Blue Piano,15,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,small,256000,0,,2008-11-26 01:47:37,,324,0,Folk,[17],[17],,1954,en,Attribution-NonCommercial-ShareAlike 3.0 International,688,,9,,[],My Dream
205,0,2008-11-26 01:52:33,2009-01-07 00:00:00,,0,85,<p>Ed originally recorded <em>What I Know </em>on cassette in 1998.&nbsp; He's graciously given a digital transfer for FMA listeners to enjoy!</p>,894,,[],What I Know,10,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,large,256000,0,,2008-11-26 01:47:41,2008-11-26 00:00:00,244,0,Folk,[17],[17],,556,en,Attribution-NonCommercial-ShareAlike 3.0 International,69,,9,,[],What Crow Saw
206,0,2008-11-26 01:52:33,2009-01-07 00:00:00,,0,85,<p>Ed originally recorded <em>What I Know </em>on cassette in 1998.&nbsp; He's graciously given a digital transfer for FMA listeners to enjoy!</p>,894,,[],What I Know,10,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,large,256000,0,,2008-11-26 01:47:45,2008-11-26 00:00:00,141,2,Folk,[17],[17],,510,en,Attribution-NonCommercial-ShareAlike 3.0 International,87,,10,,[],Bella Crane
207,0,2008-11-26 01:52:31,2009-01-07 00:00:00,,0,84,"<p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p>
<p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",12333,,[],Blue Piano,15,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,small,256000,0,,2008-11-26 01:47:47,,96,0,Folk,[17],[17],,2811,en,Attribution-NonCommercial-ShareAlike 3.0 International,609,,10,,[],Piano 3
208,0,2008-11-26 01:52:31,2009-01-07 00:00:00,,0,84,"<p><em>Blue Piano</em> is an unreleased collection of songs that Ed wrote between 2006 and 2007.</p>
<p>-<a href=""http://flickr.com/photos/ecaskew/2807959016/"" target=""_blank"">album cover</a> via <a href=""http://flickr.com/photos/16861905@N02/"" target=""_blank"">Ed's Flickr photostream</a></p>",12333,,[],Blue Piano,15,Album,1968-01-01 00:00:00,,"ESP-Disk, Spinning Gold","<p><i><span></span></i>Ed Askew cut one of the best and most obscure LPs in the original ESP-Disk’s vague rock/folk/freak series, issued eponymously and since reissued as Ask The Unicorn, before apparently dropping off the edge of his world. Years later, thanks to detective work by - naturally - Mr Clint Simonson of the De Stijl imprint, it turned out that not only was Askew still breathing but he had actually recorded a follow-up to his ESP disk in 1970 that had lain in the can for decades. Originally released as a limited vinyl edition by Simonson himself, Little Eyes blew even his revered ESP side to ribbons and stands as one of the most magical outsider/freak artefacts to ever escape the prodigious gravity of the decade in which it was birthed. Askew has a highly idiosyncratic vocal style that is equal parts quizzical bubble-gum chewing kind on shrooms and doe-eyed real people Richard Brautigan character. Perhaps the closest comparison would be to Tom Rapp or Judee Sill’s old buddy Tommy Peltier. His instrumental conceptions certainly owe a massive debt to Dylan circa 64/65 - who the fuck didn’t - especially his spine-tingling harmonica work but it’s the beautiful arc of the songs that will keep you coming back, the way he combines rough, fluffed performances with eye-watering lyrical sentiments, heartbreaking phrasing and weird, clunky chords played on a ‘Martin tiple’. If you ever dug the whole late-60s freak-folk fall-out as documented by Pearls Before Swine, Bleib Alien, Tim Buckley, Fugs, Roots Of Madness et al you are gonna crease. Simply put, one of the most beautifully cracked singer-songwriter albums of a timeless age. Only the hardest of hearts could resist it. -<i><span>All text copyright  © David Keenan/Volcanic Tongue</span></i></p>",1,2008-11-26 02:08:52,7,127,40.7143528,"New York, NY",-74.0059731,,Ed Askew,,['ed askew'],http://www.facebook.com/ecaskew?v=feed ,,training,medium,256000,0,,2008-11-26 01:47:49,,273,0,Folk,[17],[17],,1239,en,Attribution-NonCommercial-ShareAlike 3.0 International,397,,11,,[],Safe Harbor
